(85.2970826, 27.7535335)
(85.355383, 27.6642695)
(85.3277516, 27.7501462)
(85.3299089, 27.6904984)
(85.3888459, 27.6921451)
(85.3358296, 27.6903656)
(85.3158454, 27.7647368)
(85.3364226, 27.7100942)
(85.4760852, 27.6740421)
(85.3013386, 27.714492)
(85.4020804, 27.6568839)
(85.3481514, 27.6727564)
(85.3313675, 27.7426261)
(85.3576583, 27.7151654)
(85.3517901, 27.7005656)
(85.415556, 27.6685496)
(85.4516246, 27.6946165)
(85.300254, 27.6672915)
(85.4577113, 27.6640366)
(85.3661161, 27.7048138)
(85.3533545, 27.7234758)
(85.3771446, 27.6821459)
(85.2765571, 27.6964666)
(85.3560828, 27.6806326)
(85.2984476, 27.7514437)
(85.3277509, 27.729579)
(85.2873261, 27.6924794)
(85.3498304, 27.6683975)
(85.3571048, 27.7328245)
(85.3848419, 27.7069032)
(85.3920709, 27.6543513)
(85.44769, 27.7574875)
(85.2801543, 27.6758422)
(85.3174015, 27.6899719)
(85.379745, 27.7365055)
(85.3619446, 27.7618383)
(85.3578016, 27.7389251)
(85.2696671, 27.7011779)
(85.3134609, 27.7001447)
(85.3357696, 27.6704264)
(85.3048686, 27.6561445)
(85.2783901, 27.6933556)
(85.4212466, 27.6686205)
(85.4049766, 27.7254183)
(85.3313815, 27.6980758)
(85.3867635, 27.7431728)
(85.4163381, 27.7097575)
(85.2933722, 27.7251658)
(85.3339547, 27.7267855)
(85.3261414, 27.6892588)
(85.3920611, 27.6750819)
(85.3249344, 27.6423043)
(85.3516211, 27.699871)
(85.3496732, 27.7554447)
(85.3660237, 27.6667678)
(85.4135497, 27.6460347)
(85.3651911, 27.7260737)
(85.3395659, 27.7336382)
(85.3081771, 27.686524)
(85.3627485, 27.7612236)
(85.3893624, 27.6849421)
(85.3720079, 27.6869331)
(85.2713606, 27.726617)
(85.2962396, 27.689169)
(85.3162995, 27.6803538)
(85.2713999, 27.6692543)
(85.2884461, 27.7394574)
(85.3398394, 27.7393387)
(85.2648199, 27.6702231)
(85.3354079, 27.7341702)
(85.3078713, 27.6974296)
(85.3897986, 27.6376207)
(85.3638559, 27.6757025)
(85.4757659, 27.6684487)
(85.3379954, 27.7034193)
(85.3326235, 27.6633699)
(85.3304587, 27.7652929)
(85.4261746, 27.6722225)
(85.3156847, 27.6922462)
(85.348919, 27.6394856)
(85.3203432, 27.6716267)
(85.3406486, 27.7383256)
(85.2614359, 27.7193309)
(85.3372087, 27.6445389)
(85.3245027, 27.6411492)
(85.2841197, 27.6695265)
(85.3552345, 27.7274786)
(85.4122257, 27.6886804)
(85.2850054, 27.7268337)
(85.3296549, 27.7592361)
(85.3375022, 27.7340273)
(85.3858526, 27.6450807)
(85.2711878, 27.6856103)
(85.2841695, 27.7265531)
(85.4705125, 27.7178761)
(85.3319582, 27.6549476)
(85.3391643, 27.7397754)
(85.4564994, 27.7384154)
(85.3353968, 27.7524059)
(85.3344592, 27.7403322)
(85.4122868, 27.6575521)
(85.4228001, 27.6622845)
(85.3428502, 27.6671814)
(85.3556109, 27.675251)
(85.4521013, 27.7311616)
(85.2894922, 27.7208822)
(85.3368476, 27.7270361)
(85.3031678, 27.7199181)
(85.331849, 27.6429791)
(85.3280287, 27.710239)
(85.3847949, 27.7192717)
(85.4379232, 27.6761925)
(85.4024842, 27.7216933)
(85.3763876, 27.7211136)
(85.3056248, 27.713425)
(85.4038689, 27.6744308)
(85.4072764, 27.754838)
(85.3027198, 27.6525981)
(85.2963177, 27.6850264)
(85.3000152, 27.6669393)
(85.3873833, 27.6375282)
(85.3465423, 27.7037269)
(85.3082104, 27.7067422)
(85.3148052, 27.6891948)
(85.4512481, 27.6948011)
(85.2707131, 27.671787)
(85.2780922, 27.6470501)
(85.3415271, 27.6805986)
(85.3156596, 27.6733375)
(85.4468197, 27.763336)
(85.352172, 27.7548984)
(85.337394, 27.6827876)
(85.2959579, 27.7210743)
(85.3641497, 27.6601769)
(85.3481958, 27.6744428)
(85.348751, 27.6769956)
(85.2804232, 27.6853277)
(85.3877905, 27.7616987)
(85.3633952, 27.6929819)
(85.2901281, 27.6633414)
(85.31188, 27.717383)
(85.3124248, 27.6827384)
(85.3726519, 27.6825568)
(85.3088572, 27.7090683)
(85.2948085, 27.6583423)
(85.2864947, 27.6980614)
(85.2840269, 27.7531075)
(85.3485225, 27.7274456)
(85.3225769, 27.7201754)
(85.3235575, 27.6745125)
(85.3817943, 27.7377869)
(85.2978956, 27.6454722)
(85.3484807, 27.6885099)
(85.3564843, 27.6983076)
(85.3066827, 27.6751172)
(85.413237, 27.6900133)
(85.3284398, 27.6898932)
(85.3485541, 27.6735934)
(85.3017188, 27.716022)
(85.2767889, 27.6928889)
(85.3218925, 27.6723632)
(85.4068282, 27.6723005)
(85.4314976, 27.737886)
(85.3082423, 27.7650969)
(85.3682527, 27.6543962)
(85.4448532, 27.7380943)
(85.2755017, 27.6800477)
(85.3429114, 27.7207784)
(85.3187017, 27.7390834)
(85.3057882, 27.7021686)
(85.2820702, 27.6792301)
(85.3163218, 27.662596)
(85.3101053, 27.7181267)
(85.3060855, 27.7484166)
(85.3476762, 27.7016657)
(85.3468941, 27.7311443)
(85.3716166, 27.721504)
(85.337394, 27.6827876)
(85.3245823, 27.6804961)
(85.3556026, 27.7211252)
(85.3272513, 27.7126616)
(85.2945309, 27.6973275)
(85.3082245, 27.67797)
(85.392272, 27.6785271)
(85.3442704, 27.6507148)
(85.3266448, 27.7031587)
(85.3309492, 27.7222121)
(85.3088754, 27.6823139)
(85.3072413, 27.7178377)
(85.2940624, 27.6968181)
(85.4239707, 27.6929156)
(85.4127949, 27.7303125)
(85.3640789, 27.7198929)
(85.345986, 27.7047614)
(85.3955558, 27.7117506)
(85.3243219, 27.6707347)
(85.3448077, 27.7378795)
(85.3724011, 27.6610812)
(85.3189206, 27.7692048)
(85.276933, 27.7070384)
(85.412638, 27.6693213)
(85.4370503, 27.7317768)
(85.2821715, 27.6717064)
(85.3750905, 27.6743211)
(85.305884, 27.7192621)
(85.3359091, 27.6465824)
(85.304915, 27.6922712)
(85.2813375, 27.6765616)
(85.4160218, 27.7317712)
(85.4231329, 27.6741443)
(85.2769605, 27.6463719)
(85.2864785, 27.7283266)
